,from,to,distance
342,Landau a.d. Isar,Erding,90430.3
343,Landau a.d. Isar,Pfarrkirchen,38020.7
344,Landau a.d. Isar,Osterhofen,38017.8
345,Landau a.d. Isar,Eichstätt,148118.4
346,Landau a.d. Isar,Neuburg a.d. Donau,134787.3
347,Landau a.d. Isar,Kösching,115729.7
348,Landau a.d. Isar,Pfaffenhofen a.d. Ilm,127534.1
349,Landau a.d. Isar,München,122216.0
350,Mainburg,Augsburg,93552.5
351,Mainburg,Ingolstadt,42877.5
352,Mainburg,Regensburg,57308.4
353,Mainburg,Landshut,37114.4
354,Mainburg,Straubing,98383.7
355,Mainburg,Passau,150097.7
356,Mainburg,Deggendorf,102087.5
357,Mainburg,Burghausen,116731.8
358,Mainburg,"Weißenburg, Bayern",97646.3
359,Mainburg,Freising,31323.8
360,Mainburg,Moosburg a.d. Isar,26697.4
361,Mainburg,Vilsbiburg,54906.4
362,Mainburg,Landau a.d. Isar,77791.2
363,Mainburg,Mainburg,0.0
364,Mainburg,Abensberg,24035.4
365,Mainburg,Schierling,46523.6
366,Mainburg,Schrobenhausen,52169.5
367,Mainburg,Erding,49709.1
368,Mainburg,Pfarrkirchen,105509.8
369,Mainburg,Osterhofen,107567.5
370,Mainburg,Eichstätt,72625.0
371,Mainburg,Neuburg a.d. Donau,59293.9
372,Mainburg,Kösching,49719.9
373,Mainburg,Pfaffenhofen a.d. Ilm,30386.2
374,Mainburg,München,71788.6
375,Abensberg,Augsburg,105013.4
376,Abensberg,Ingolstadt,44165.4
377,Abensberg,Regensburg,42583.1
378,Abensberg,Landshut,51163.4
379,Abensberg,Straubing,83658.4
380,Abensberg,Passau,158703.7
381,Abensberg,Deggendorf,111034.0
382,Abensberg,Burghausen,130780.8
383,Abensberg,"Weißenburg, Bayern",97173.8
384,Abensberg,Freising,71384.4
385,Abensberg,Moosburg a.d. Isar,49426.9
386,Abensberg,Vilsbiburg,68955.4
387,Abensberg,Landau a.d. Isar,99288.7
388,Abensberg,Mainburg,24035.4
389,Abensberg,Abensberg,0.0
390,Abensberg,Schierling,32686.1
391,Abensberg,Schrobenhausen,62112.5
392,Abensberg,Erding,82950.5
393,Abensberg,Pfarrkirchen,136457.4
394,Abensberg,Osterhofen,128490.2
395,Abensberg,Eichstätt,69578.8
396,Abensberg,Neuburg a.d. Donau,59002.4
397,Abensberg,Kösching,37378.7
398,Abensberg,Pfaffenhofen a.d. Ilm,52334.6
399,Abensberg,München,94578.7
400,Schierling,Augsburg,138111.8
401,Schierling,Ingolstadt,87436.8
402,Schierling,Regensburg,28398.0
403,Schierling,Landshut,41774.1
404,Schierling,Straubing,40420.8
405,Schierling,Passau,141408.9
406,Schierling,Deggendorf,93398.6
407,Schierling,Burghausen,121434.0
408,Schierling,"Weißenburg, Bayern",163298.7
409,Schierling,Freising,79917.6
410,Schierling,Moosburg a.d. Isar,60740.0
411,Schierling,Vilsbiburg,59608.6
412,Schierling,Landau a.d. Isar,69102.4
413,Schierling,Mainburg,46523.6
414,Schierling,Abensberg,32686.1
415,Schierling,Schierling,0.0
416,Schierling,Schrobenhausen,96657.4
417,Schierling,Erding,82009.5
418,Schierling,Pfarrkirchen,106378.0
419,Schierling,Osterhofen,99559.7
420,Schierling,Eichstätt,117112.9
421,Schierling,Neuburg a.d. Donau,103781.8
422,Schierling,Kösching,63895.1
423,Schierling,Pfaffenhofen a.d. Ilm,74874.1
424,Schierling,München,114422.4
425,Schrobenhausen,Augsburg,44597.4
426,Schrobenhausen,Ingolstadt,41155.2
427,Schrobenhausen,Regensburg,106778.2
428,Schrobenhausen,Landshut,100740.7
429,Schrobenhausen,Straubing,147853.5
430,Schrobenhausen,Passau,222898.8
431,Schrobenhausen,Deggendorf,175229.1
432,Schrobenhausen,Burghausen,172932.7
