,from,to,distance
243,"Weißenburg, Bayern",Erding,105.85424416526004
244,"Weißenburg, Bayern",Pfarrkirchen,158.85347191176288
245,"Weißenburg, Bayern",Osterhofen,154.20734454994755
246,"Weißenburg, Bayern",Eichstätt,21.734770282735106
247,"Weißenburg, Bayern",Neuburg a.d. Donau,35.98201266607438
248,"Weißenburg, Bayern",Kösching,45.69010683584409
249,"Weißenburg, Bayern",Pfaffenhofen a.d. Ilm,68.17653038859628
250,Freising,München,31.868288855699827
251,Freising,Augsburg,62.574581742324426
252,Freising,Ingolstadt,46.608106395178204
253,Freising,Regensburg,73.5246217665742
254,Freising,Landshut,33.61717146975783
255,Freising,Straubing,80.8912419466787
256,Freising,Passau,128.0079055021289
257,Freising,Deggendorf,101.63881100619851
258,Freising,Burghausen,84.95620553076193
259,Freising,"Weißenburg, Bayern",90.06491384530196
260,Freising,Freising,0.0
261,Freising,Moosburg a.d. Isar,15.772933619407068
262,Freising,Vilsbiburg,45.457002094739906
263,Freising,Landau a.d. Isar,75.89468006054021
264,Freising,Mainburg,26.807657208900018
265,Freising,Abensberg,48.79594751168771
266,Freising,Schierling,56.533135142261926
267,Freising,Schrobenhausen,39.52843736594771
268,Freising,Erding,16.01449260407106
269,Freising,Pfarrkirchen,88.23565616338502
270,Freising,Osterhofen,99.72230178456932
271,Freising,Eichstätt,68.49888577195487
272,Freising,Neuburg a.d. Donau,55.88999651128895
273,Freising,Kösching,48.99164049731937
274,Freising,Pfaffenhofen a.d. Ilm,22.509074050750467
275,Moosburg a.d. Isar,München,45.210882084343446
276,Moosburg a.d. Isar,Augsburg,77.17522613846543
277,Moosburg a.d. Isar,Ingolstadt,49.81621403399317
278,Moosburg a.d. Isar,Regensburg,62.64003801215571
279,Moosburg a.d. Isar,Landshut,17.84862354183109
280,Moosburg a.d. Isar,Straubing,65.69565072384376
281,Moosburg a.d. Isar,Passau,113.15151096158928
282,Moosburg a.d. Isar,Deggendorf,85.86847624846939
283,Moosburg a.d. Isar,Burghausen,74.81860175769926
284,Moosburg a.d. Isar,"Weißenburg, Bayern",94.33764006134587
285,Moosburg a.d. Isar,Freising,15.772933619407068
286,Moosburg a.d. Isar,Moosburg a.d. Isar,0.0
287,Moosburg a.d. Isar,Vilsbiburg,31.221209519358784
288,Moosburg a.d. Isar,Landau a.d. Isar,60.174262006106865
289,Moosburg a.d. Isar,Mainburg,22.310500939799887
290,Moosburg a.d. Isar,Abensberg,41.140314513913516
291,Moosburg a.d. Isar,Schierling,43.88237916999854
292,Moosburg a.d. Isar,Schrobenhausen,50.306493219355815
293,Moosburg a.d. Isar,Erding,17.919964733880466
294,Moosburg a.d. Isar,Pfarrkirchen,74.24600991486847
295,Moosburg a.d. Isar,Osterhofen,84.11569857892432
296,Moosburg a.d. Isar,Eichstätt,72.64752683943642
297,Moosburg a.d. Isar,Neuburg a.d. Donau,63.06092156780275
298,Moosburg a.d. Isar,Kösching,49.768754325370736
299,Moosburg a.d. Isar,Pfaffenhofen a.d. Ilm,32.07437942784154
300,Vilsbiburg,München,67.3207540472928
301,Vilsbiburg,Augsburg,107.96740590090715
302,Vilsbiburg,Ingolstadt,76.85338087387348
303,Vilsbiburg,Regensburg,66.26357778663309
304,Vilsbiburg,Landshut,17.929690746141816
305,Vilsbiburg,Straubing,50.69827521546946
306,Vilsbiburg,Passau,82.6133357251776
307,Vilsbiburg,Deggendorf,61.770923837376465
308,Vilsbiburg,Burghausen,47.77672274561071
309,Vilsbiburg,"Weißenburg, Bayern",120.36393878022228
310,Vilsbiburg,Freising,45.457002094739906
311,Vilsbiburg,Moosburg a.d. Isar,31.221209519358784
312,Vilsbiburg,Vilsbiburg,0.0
313,Vilsbiburg,Landau a.d. Isar,34.86988489544853
314,Vilsbiburg,Mainburg,47.32941256860503
315,Vilsbiburg,Abensberg,56.33029556205999
316,Vilsbiburg,Schierling,46.11912509837777
317,Vilsbiburg,Schrobenhausen,81.30252053262078
318,Vilsbiburg,Erding,36.6735666419152
319,Vilsbiburg,Pfarrkirchen,43.03239712678897
320,Vilsbiburg,Osterhofen,56.42092691009255
321,Vilsbiburg,Eichstätt,99.25651460873311
322,Vilsbiburg,Neuburg a.d. Donau,92.27210203457567
323,Vilsbiburg,Kösching,74.67395731016009
324,Vilsbiburg,Pfaffenhofen a.d. Ilm,63.09142120870583
325,Landau a.d. Isar,München,101.46635076362715
326,Landau a.d. Isar,Augsburg,136.246652064505
327,Landau a.d. Isar,Ingolstadt,93.46658765813679
328,Landau a.d. Isar,Regensburg,58.29727815126527
329,Landau a.d. Isar,Landshut,42.370255818156956
330,Landau a.d. Isar,Straubing,25.200056951556277
331,Landau a.d. Isar,Passau,57.558601694193555
332,Landau a.d. Isar,Deggendorf,26.912721370132687
333,Landau a.d. Isar,Burghausen,57.78653900601276
334,Landau a.d. Isar,"Weißenburg, Bayern",132.03437662428126
335,Landau a.d. Isar,Freising,75.89468006054021
336,Landau a.d. Isar,Moosburg a.d. Isar,60.174262006106865
337,Landau a.d. Isar,Vilsbiburg,34.86988489544853
338,Landau a.d. Isar,Landau a.d. Isar,0.0
339,Landau a.d. Isar,Mainburg,66.86034573584688
340,Landau a.d. Isar,Abensberg,63.79173493878453
341,Landau a.d. Isar,Schierling,44.63224750937148
342,Landau a.d. Isar,Schrobenhausen,105.50323310112162
343,Landau a.d. Isar,Erding,70.48766238801201
344,Landau a.d. Isar,Pfarrkirchen,32.118462932477534
345,Landau a.d. Isar,Osterhofen,24.406511009132814
346,Landau a.d. Isar,Eichstätt,113.19783110061248
347,Landau a.d. Isar,Neuburg a.d. Donau,111.18345402201022
348,Landau a.d. Isar,Kösching,88.71863527853041
349,Landau a.d. Isar,Pfaffenhofen a.d. Ilm,88.35863420175255
350,Mainburg,München,58.02753836458347
351,Mainburg,Augsburg,71.79370515039179
352,Mainburg,Ingolstadt,29.526601623820202
353,Mainburg,Regensburg,48.04740823652282
354,Mainburg,Landshut,29.557219670112968
355,Mainburg,Straubing,63.66806443658948
356,Mainburg,Passau,123.65247830991157
357,Mainburg,Deggendorf,89.147810184286
358,Mainburg,Burghausen,94.27527231202194
359,Mainburg,"Weißenburg, Bayern",73.46121182666155
360,Mainburg,Freising,26.807657208900018
361,Mainburg,Moosburg a.d. Isar,22.310500939799887
362,Mainburg,Vilsbiburg,47.32941256860503
363,Mainburg,Landau a.d. Isar,66.86034573584688
364,Mainburg,Mainburg,0.0
365,Mainburg,Abensberg,22.11686776344241
366,Mainburg,Schierling,34.063179560776796
367,Mainburg,Schrobenhausen,38.99736160309917
368,Mainburg,Erding,38.291273605814716
369,Mainburg,Pfarrkirchen,88.25427559618122
370,Mainburg,Osterhofen,91.16734112685356
371,Mainburg,Eichstätt,52.075683119202
372,Mainburg,Neuburg a.d. Donau,45.51538488633381
373,Mainburg,Kösching,28.029882482193624
374,Mainburg,Pfaffenhofen a.d. Ilm,23.601825708955907
375,Abensberg,München,80.14218925093392
376,Abensberg,Augsburg,87.3971434937623
377,Abensberg,Ingolstadt,32.59408420449844
378,Abensberg,Regensburg,27.15857235932136
379,Abensberg,Landshut,39.477377074534644
380,Abensberg,Straubing,52.416430701987395
381,Abensberg,Passau,121.1529338352289
382,Abensberg,Deggendorf,80.87691973970828
383,Abensberg,Burghausen,103.89117227427397
384,Abensberg,"Weißenburg, Bayern",68.28362640894879
385,Abensberg,Freising,48.79594751168771
386,Abensberg,Moosburg a.d. Isar,41.140314513913516
387,Abensberg,Vilsbiburg,56.33029556205999
388,Abensberg,Landau a.d. Isar,63.79173493878453
389,Abensberg,Mainburg,22.11686776344241
390,Abensberg,Abensberg,0.0
391,Abensberg,Schierling,20.562697126159744
392,Abensberg,Schrobenhausen,52.910067922998735
393,Abensberg,Erding,58.69522961297015
394,Abensberg,Pfarrkirchen,91.14305178865507
395,Abensberg,Osterhofen,86.48125404351282
396,Abensberg,Eichstätt,49.69478580786777
397,Abensberg,Neuburg a.d. Donau,50.776130994054235
398,Abensberg,Kösching,26.231460666103285
399,Abensberg,Pfaffenhofen a.d. Ilm,42.35942836649533
400,Schierling,München,88.2242611412461
401,Schierling,Augsburg,105.00403298373622
402,Schierling,Ingolstadt,52.86730041764677
403,Schierling,Regensburg,20.459903392390686
404,Schierling,Landshut,33.512187816141804
405,Schierling,Straubing,31.971629336249137
406,Schierling,Passau,101.37928528676476
407,Schierling,Deggendorf,60.318332945142565
408,Schierling,Burghausen,91.19158888653187
409,Schierling,"Weißenburg, Bayern",87.84062717422394
410,Schierling,Freising,56.533135142261926
411,Schierling,Moosburg a.d. Isar,43.88237916999854
412,Schierling,Vilsbiburg,46.11912509837777
413,Schierling,Landau a.d. Isar,44.63224750937148
414,Schierling,Mainburg,34.063179560776796
415,Schierling,Abensberg,20.562697126159744
416,Schierling,Schierling,0.0
417,Schierling,Schrobenhausen,71.01261023538386
418,Schierling,Erding,61.429557654524636
419,Schierling,Pfarrkirchen,74.12184324657281
420,Schierling,Osterhofen,66.38542550122584
421,Schierling,Eichstätt,70.06207380958058
422,Schierling,Neuburg a.d. Donau,71.09460550254
423,Schierling,Kösching,46.76774222874236
424,Schierling,Pfaffenhofen a.d. Ilm,57.50347532630495
425,Schrobenhausen,München,52.43869619276751
426,Schrobenhausen,Augsburg,34.51708272637836
427,Schrobenhausen,Ingolstadt,25.30367006704345
